probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
7764,ptcl,duet.edu.pk,Abroad,13102.5,128.318,231.4,1.8,True
60223,nayatel,duet.edu.pk,Abroad,12821.2,125.564,237.6,1.89,True
62224,transworld,duet.edu.pk,Abroad,13102.4,128.317,268.6,2.09,True
64078,tes,duet.edu.pk,Abroad,13095.2,128.247,271.4,2.12,True
64535,orbit,duet.edu.pk,Abroad,13054.7,127.851,267.5,2.09,True
64722,tes,duet.edu.pk,Abroad,13382.9,131.065,251.2,1.92,True
65892,nayatel,duet.edu.pk,Abroad,13095.5,128.25,247.2,1.93,True
1014872,fasttel,duet.edu.pk,Abroad,12830.3,125.653,241.5,1.92,True
1015491,zcom,duet.edu.pk,Abroad,13091.6,128.212,269.5,2.1,True
1015679,nova,duet.edu.pk,Abroad,13104.1,128.334,265.2,2.07,True
1016126,ptcl,duet.edu.pk,Abroad,13372.7,130.965,231.8,1.77,True
1016143,cybernet,duet.edu.pk,Abroad,13372.9,130.967,216.8,1.66,True
1016154,cybernet,duet.edu.pk,Abroad,13372.8,130.966,221.4,1.69,True
1016393,ptcl,duet.edu.pk,Abroad,12870.1,126.043,236.8,1.88,True
7613,zcom,efulife.com,Pakistan,1028.0,10.068,164.8,16.37,True
7764,ptcl,efulife.com,Pakistan,1030.0,10.087,101.3,10.04,True
60223,nayatel,efulife.com,Pakistan,1139.9,11.163,97.3,8.72,True
62224,transworld,efulife.com,Pakistan,1029.8,10.086,95.1,9.43,True
64078,tes,efulife.com,Pakistan,1030.6,10.093,101.4,10.05,True
64535,orbit,efulife.com,Pakistan,940.1,9.207,97.4,10.58,True
64722,tes,efulife.com,Pakistan,4.6,0.045,78.4,1744.74,False
65892,nayatel,efulife.com,Pakistan,1030.4,10.091,103.5,10.26,True
1014872,fasttel,efulife.com,Pakistan,1131.5,11.081,98.7,8.91,True
1015491,zcom,efulife.com,Pakistan,1033.5,10.121,96.1,9.49,True
1015679,nova,efulife.com,Pakistan,1030.7,10.094,96.5,9.56,True
1016126,ptcl,efulife.com,Pakistan,7.3,0.071,108.2,1515.16,False
1016143,cybernet,efulife.com,Pakistan,7.1,0.07,5.0,71.67,False
1016154,cybernet,efulife.com,Pakistan,7.2,0.07,4.7,67.03,False
1016393,ptcl,efulife.com,Pakistan,963.3,9.434,104.3,11.06,True
7613,zcom,en.dailypakistan.com.pk,Abroad,5698.8,55.811,131.1,2.35,True
7764,ptcl,en.dailypakistan.com.pk,Abroad,5706.8,55.89,141.4,2.53,True
60223,nayatel,en.dailypakistan.com.pk,Abroad,5444.2,53.317,132.9,2.49,True
62224,transworld,en.dailypakistan.com.pk,Abroad,5706.7,55.888,134.5,2.41,True
64078,tes,en.dailypakistan.com.pk,Abroad,5699.5,55.817,136.6,2.45,True
64535,orbit,en.dailypakistan.com.pk,Abroad,5620.1,55.04,134.3,2.44,True
64722,tes,en.dailypakistan.com.pk,Abroad,5694.2,55.766,117.9,2.11,True
65892,nayatel,en.dailypakistan.com.pk,Abroad,5699.7,55.82,139.8,2.5,True
1014872,fasttel,en.dailypakistan.com.pk,Abroad,5450.8,53.382,135.2,2.53,True
1015491,zcom,en.dailypakistan.com.pk,Abroad,5696.9,55.792,136.7,2.45,True
1015679,nova,en.dailypakistan.com.pk,Abroad,5708.8,55.909,138.5,2.48,True
1016126,ptcl,en.dailypakistan.com.pk,Abroad,5683.7,55.663,145.5,2.61,True
