kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
ping,65892,nayatel.lhe,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,31.4,31.6,3,3,204250963
ping,65892,nayatel.lhe,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250964
ping,1014872,fasttel.isb,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,44.1,47.0,3,3,204250965
ping,1014872,fasttel.isb,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250971
ping,1014872,fasttel.isb,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250977
ping,1014872,fasttel.isb,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250979
ping,1014872,fasttel.isb,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250985
ping,1014872,fasttel.isb,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250991
ping,1014872,fasttel.isb,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,18.4,18.7,3,3,204250993
ping,1014872,fasttel.isb,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204251002
